疾病通路的编号,疾病名称,通路名称,时序切片,基因名称,基因ID,基因链接
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,21,CASP9,842,https://www.kegg.jp/entry/hsa:842
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mGluR5-Ca2+ -apoptotic pathway,22,CASP3,836,https://www.kegg.jp/entry/hsa:836
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,1,PSEN1,5663,https://www.kegg.jp/entry/hsa:5663
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,2,ITPR1,3708,https://www.kegg.jp/entry/hsa:3708
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,3,ITPR2,3709,https://www.kegg.jp/entry/hsa:3709
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,4,ITPR3,3710,https://www.kegg.jp/entry/hsa:3710
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,5,MCU,90550,https://www.kegg.jp/entry/hsa:90550
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,6,VDAC1,7416,https://www.kegg.jp/entry/hsa:7416
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,7,VDAC2,7417,https://www.kegg.jp/entry/hsa:7417
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,8,VDAC3,7419,https://www.kegg.jp/entry/hsa:7419
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,9,SLC25A4,291,https://www.kegg.jp/entry/hsa:291
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,10,SLC25A5,292,https://www.kegg.jp/entry/hsa:292
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,11,SLC25A6,293,https://www.kegg.jp/entry/hsa:293
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,12,SLC25A31,83447,https://www.kegg.jp/entry/hsa:83447
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to mGluR5-Ca2+ -apoptotic pathway,13,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,1,PSEN1,5663,https://www.kegg.jp/entry/hsa:5663
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,2,PSEN2,5664,https://www.kegg.jp/entry/hsa:5664
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,3,RYR3,6263,https://www.kegg.jp/entry/hsa:6263
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,4,MCU,90550,https://www.kegg.jp/entry/hsa:90550
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,5,VDAC1,7416,https://www.kegg.jp/entry/hsa:7416
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,6,VDAC2,7417,https://www.kegg.jp/entry/hsa:7417
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,7,VDAC3,7419,https://www.kegg.jp/entry/hsa:7419
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,8,SLC25A4,291,https://www.kegg.jp/entry/hsa:291
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,9,SLC25A5,292,https://www.kegg.jp/entry/hsa:292
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,10,SLC25A6,293,https://www.kegg.jp/entry/hsa:293
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,11,SLC25A31,83447,https://www.kegg.jp/entry/hsa:83447
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,12,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,13,APAF1,317,https://www.kegg.jp/entry/hsa:317
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,14,CASP9,842,https://www.kegg.jp/entry/hsa:842
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,15,CASP3,836,https://www.kegg.jp/entry/hsa:836
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN to mGluR5-Ca2+ -apoptotic pathway,16,CASP7,840,https://www.kegg.jp/entry/hsa:840
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,1,APP,351,https://www.kegg.jp/entry/hsa:351
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,2,CHRM1,1128,https://www.kegg.jp/entry/hsa:1128
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,3,CHRM3,1131,https://www.kegg.jp/entry/hsa:1131
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,4,CHRM5,1133,https://www.kegg.jp/entry/hsa:1133
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,5,GNAQ,2776,https://www.kegg.jp/entry/hsa:2776
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,6,PLCB1,23236,https://www.kegg.jp/entry/hsa:23236
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,7,PLCB2,5330,https://www.kegg.jp/entry/hsa:5330
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,8,PLCB3,5331,https://www.kegg.jp/entry/hsa:5331
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,9,PLCB4,5332,https://www.kegg.jp/entry/hsa:5332
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,10,ITPR1,3708,https://www.kegg.jp/entry/hsa:3708
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,11,ITPR2,3709,https://www.kegg.jp/entry/hsa:3709
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,12,ITPR3,3710,https://www.kegg.jp/entry/hsa:3710
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,13,MCU,90550,https://www.kegg.jp/entry/hsa:90550
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,14,VDAC1,7416,https://www.kegg.jp/entry/hsa:7416
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,15,VDAC2,7417,https://www.kegg.jp/entry/hsa:7417
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,16,VDAC3,7419,https://www.kegg.jp/entry/hsa:7419
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,17,SLC25A4,291,https://www.kegg.jp/entry/hsa:291
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,18,SLC25A5,292,https://www.kegg.jp/entry/hsa:292
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,19,SLC25A6,293,https://www.kegg.jp/entry/hsa:293
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,20,SLC25A31,83447,https://www.kegg.jp/entry/hsa:83447
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to mAchR-Ca2+ -apoptotic pathway,21,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,1,APP,351,https://www.kegg.jp/entry/hsa:351
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,2,CACNA1C,775,https://www.kegg.jp/entry/hsa:775
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,3,CACNA1D,776,https://www.kegg.jp/entry/hsa:776
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,4,CACNA1F,778,https://www.kegg.jp/entry/hsa:778
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,5,CACNA1S,779,https://www.kegg.jp/entry/hsa:779
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,6,MCU,90550,https://www.kegg.jp/entry/hsa:90550
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,7,VDAC1,7416,https://www.kegg.jp/entry/hsa:7416
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,8,VDAC2,7417,https://www.kegg.jp/entry/hsa:7417
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,9,VDAC3,7419,https://www.kegg.jp/entry/hsa:7419
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,10,SLC25A4,291,https://www.kegg.jp/entry/hsa:291
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,11,SLC25A5,292,https://www.kegg.jp/entry/hsa:292
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,12,SLC25A6,293,https://www.kegg.jp/entry/hsa:293
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,13,SLC25A31,83447,https://www.kegg.jp/entry/hsa:83447
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,14,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,15,APP,351,https://www.kegg.jp/entry/hsa:351
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,16,PPID,5481,https://www.kegg.jp/entry/hsa:5481
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,17,VDAC1,7416,https://www.kegg.jp/entry/hsa:7416
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,18,VDAC2,7417,https://www.kegg.jp/entry/hsa:7417
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,19,VDAC3,7419,https://www.kegg.jp/entry/hsa:7419
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,20,SLC25A4,291,https://www.kegg.jp/entry/hsa:291
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,21,SLC25A5,292,https://www.kegg.jp/entry/hsa:292
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,22,SLC25A6,293,https://www.kegg.jp/entry/hsa:293
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,23,SLC25A31,83447,https://www.kegg.jp/entry/hsa:83447
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to VGCC-Ca2+ -apoptotic pathway,24,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,1,APP,351,https://www.kegg.jp/entry/hsa:351
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,2,GRIN1,2902,https://www.kegg.jp/entry/hsa:2902
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,3,GRIN2A,2903,https://www.kegg.jp/entry/hsa:2903
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,4,GRIN2B,2904,https://www.kegg.jp/entry/hsa:2904
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,5,GRIN2C,2905,https://www.kegg.jp/entry/hsa:2905
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,6,GRIN2D,2906,https://www.kegg.jp/entry/hsa:2906
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,7,MCU,90550,https://www.kegg.jp/entry/hsa:90550
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,8,VDAC1,7416,https://www.kegg.jp/entry/hsa:7416
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,9,VDAC2,7417,https://www.kegg.jp/entry/hsa:7417
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,10,VDAC3,7419,https://www.kegg.jp/entry/hsa:7419
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,11,SLC25A4,291,https://www.kegg.jp/entry/hsa:291
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,12,SLC25A5,292,https://www.kegg.jp/entry/hsa:292
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,13,SLC25A6,293,https://www.kegg.jp/entry/hsa:293
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,14,SLC25A31,83447,https://www.kegg.jp/entry/hsa:83447
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to transport of calcium,15,CYCS,54205,https://www.kegg.jp/entry/hsa:54205
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,1,APP,351,https://www.kegg.jp/entry/hsa:351
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,2,PSMA6,5687,https://www.kegg.jp/entry/hsa:5687
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,3,PSMA2,5683,https://www.kegg.jp/entry/hsa:5683
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,4,PSMA4,5685,https://www.kegg.jp/entry/hsa:5685
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,5,PSMA7,5688,https://www.kegg.jp/entry/hsa:5688
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,6,PSMA8,143471,https://www.kegg.jp/entry/hsa:143471
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,7,PSMA5,5686,https://www.kegg.jp/entry/hsa:5686
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,8,PSMA1,5682,https://www.kegg.jp/entry/hsa:5682
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,9,PSMA3,5684,https://www.kegg.jp/entry/hsa:5684
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,10,PSMB6,5694,https://www.kegg.jp/entry/hsa:5694
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,11,PSMB7,5695,https://www.kegg.jp/entry/hsa:5695
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,12,PSMB3,5691,https://www.kegg.jp/entry/hsa:5691
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,13,PSMB2,5690,https://www.kegg.jp/entry/hsa:5690
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,14,PSMB5,5693,https://www.kegg.jp/entry/hsa:5693
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,15,PSMB1,5689,https://www.kegg.jp/entry/hsa:5689
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,16,PSMB4,5692,https://www.kegg.jp/entry/hsa:5692
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,17,PSMC2,5701,https://www.kegg.jp/entry/hsa:5701
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,18,PSMC1,5700,https://www.kegg.jp/entry/hsa:5700
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,19,PSMC4,5704,https://www.kegg.jp/entry/hsa:5704
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,20,PSMC6,5706,https://www.kegg.jp/entry/hsa:5706
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,21,PSMC3,5702,https://www.kegg.jp/entry/hsa:5702
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,22,PSMC5,5705,https://www.kegg.jp/entry/hsa:5705
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,23,PSMD2,5708,https://www.kegg.jp/entry/hsa:5708
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,24,PSMD1,5707,https://www.kegg.jp/entry/hsa:5707
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,25,PSMD3,5709,https://www.kegg.jp/entry/hsa:5709
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,26,PSMD9,5715,https://www.kegg.jp/entry/hsa:5715
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,27,PSMD12,5718,https://www.kegg.jp/entry/hsa:5718
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,28,PSMD11,5717,https://www.kegg.jp/entry/hsa:5717
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,29,PSMD6,9861,https://www.kegg.jp/entry/hsa:9861
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,30,PSMD7,5713,https://www.kegg.jp/entry/hsa:5713
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,31,PSMD13,5719,https://www.kegg.jp/entry/hsa:5719
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,32,PSMD4,5710,https://www.kegg.jp/entry/hsa:5710
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,33,PSMD14,10213,https://www.kegg.jp/entry/hsa:10213
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,34,PSMD8,5714,https://www.kegg.jp/entry/hsa:5714
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,35,ADRM1,11047,https://www.kegg.jp/entry/hsa:11047
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to 26S proteasome-mediated protein degradation,36,SEM1,7979,https://www.kegg.jp/entry/hsa:7979
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to PERK-ATF4 signaling pathway,1,PSEN1,5663,https://www.kegg.jp/entry/hsa:5663
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to PERK-ATF4 signaling pathway,2,EIF2AK3,9451,https://www.kegg.jp/entry/hsa:9451
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to PERK-ATF4 signaling pathway,3,EIF2S1,1965,https://www.kegg.jp/entry/hsa:1965
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to PERK-ATF4 signaling pathway,4,ATF4,468,https://www.kegg.jp/entry/hsa:468
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to PERK-ATF4 signaling pathway,5,DDIT3,1649,https://www.kegg.jp/entry/hsa:1649
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to IRE1a-XBP1 signaling pathway,1,PSEN1,5663,https://www.kegg.jp/entry/hsa:5663
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to IRE1a-XBP1 signaling pathway,2,ERN1,2081,https://www.kegg.jp/entry/hsa:2081
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to IRE1a-XBP1 signaling pathway,3,XBP1,7494,https://www.kegg.jp/entry/hsa:7494
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to IRE1a-JNK signaling pathway,1,APP,351,https://www.kegg.jp/entry/hsa:351
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to IRE1a-JNK signaling pathway,2,MAP3K5,4217,https://www.kegg.jp/entry/hsa:4217
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to IRE1a-JNK signaling pathway,3,MAP2K7,5609,https://www.kegg.jp/entry/hsa:5609
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to IRE1a-JNK signaling pathway,4,MAPK8,5599,https://www.kegg.jp/entry/hsa:5599
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to IRE1a-JNK signaling pathway,5,MAPK9,5601,https://www.kegg.jp/entry/hsa:5601
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to IRE1a-JNK signaling pathway,6,MAPK10,5602,https://www.kegg.jp/entry/hsa:5602
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to ATF6-mediated transcription,1,PSEN1,5663,https://www.kegg.jp/entry/hsa:5663
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to ATF6-mediated transcription,2,ATF6,22926,https://www.kegg.jp/entry/hsa:22926
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to ATF6-mediated transcription,3,DDIT3,1649,https://www.kegg.jp/entry/hsa:1649
hsa05010,Alzheimer disease,Mutation-caused aberrant PSEN1 to ATF6-mediated transcription,4,XBP1,7494,https://www.kegg.jp/entry/hsa:7494
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to crosstalk between extrinsic and intrinsic apoptotic pathways,1,APP,351,https://www.kegg.jp/entry/hsa:351
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to crosstalk between extrinsic and intrinsic apoptotic pathways,2,FAS,355,https://www.kegg.jp/entry/hsa:355
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to crosstalk between extrinsic and intrinsic apoptotic pathways,3,FADD,8772,https://www.kegg.jp/entry/hsa:8772
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to crosstalk between extrinsic and intrinsic apoptotic pathways,4,CASP8,841,https://www.kegg.jp/entry/hsa:841
hsa05010,Alzheimer disease,Mutation-caused aberrant Abeta to crosstalk between extrinsic and intrinsic apoptotic pathways,5,BID,637,https://www.kegg.jp/entry/hsa:637
