基因名称,基因ID,类型,涉及通路,涉及通路的编号
GNAQ,2776,"Homo sapiens (human)
",Glucagon signaling pathway,hsa04922
GNAQ,2776,"Homo sapiens (human)
",Renin secretion,hsa04924
GNAQ,2776,"Homo sapiens (human)
",Aldosterone synthesis and secretion,hsa04925
GNAQ,2776,"Homo sapiens (human)
",Cortisol synthesis and secretion,hsa04927
GNAQ,2776,"Homo sapiens (human)
","Parathyroid hormone synthesis, secretion and action",hsa04928
GNAQ,2776,"Homo sapiens (human)
",GnRH secretion,hsa04929
GNAQ,2776,"Homo sapiens (human)
",Cushing syndrome,hsa04934
GNAQ,2776,"Homo sapiens (human)
","Growth hormone synthesis, secretion and action",hsa04935
GNAQ,2776,"Homo sapiens (human)
",Endocrine and other factor-regulated calcium reabsorption,hsa04961
GNAQ,2776,"Homo sapiens (human)
",Salivary secretion,hsa04970
GNAQ,2776,"Homo sapiens (human)
",Gastric acid secretion,hsa04971
GNAQ,2776,"Homo sapiens (human)
",Pancreatic secretion,hsa04972
GNAQ,2776,"Homo sapiens (human)
",Alzheimer disease,hsa05010
GNAQ,2776,"Homo sapiens (human)
",Huntington disease,hsa05016
GNAQ,2776,"Homo sapiens (human)
",Spinocerebellar ataxia,hsa05017
GNAQ,2776,"Homo sapiens (human)
",Pathways of neurodegeneration - multiple diseases,hsa05022
GNAQ,2776,"Homo sapiens (human)
",Yersinia infection,hsa05135
GNAQ,2776,"Homo sapiens (human)
",Chagas disease,hsa05142
GNAQ,2776,"Homo sapiens (human)
",African trypanosomiasis,hsa05143
GNAQ,2776,"Homo sapiens (human)
",Amoebiasis,hsa05146
GNAQ,2776,"Homo sapiens (human)
",Human cytomegalovirus infection,hsa05163
GNAQ,2776,"Homo sapiens (human)
",Human immunodeficiency virus 1 infection,hsa05170
GNAQ,2776,"Homo sapiens (human)
",Pathways in cancer,hsa05200
PLCB1,23236,"Homo sapiens (human)
",Inositol phosphate metabolism,hsa00562
PLCB1,23236,"Homo sapiens (human)
",Metabolic pathways,hsa01100
PLCB1,23236,"Homo sapiens (human)
",Rap1 signaling pathway,hsa04015
PLCB1,23236,"Homo sapiens (human)
",Calcium signaling pathway,hsa04020
PLCB1,23236,"Homo sapiens (human)
",cGMP-PKG signaling pathway,hsa04022
PLCB1,23236,"Homo sapiens (human)
",Chemokine signaling pathway,hsa04062
PLCB1,23236,"Homo sapiens (human)
",Phosphatidylinositol signaling system,hsa04070
PLCB1,23236,"Homo sapiens (human)
",Sphingolipid signaling pathway,hsa04071
PLCB1,23236,"Homo sapiens (human)
",Phospholipase D signaling pathway,hsa04072
PLCB1,23236,"Homo sapiens (human)
",Adrenergic signaling in cardiomyocytes,hsa04261
PLCB1,23236,"Homo sapiens (human)
",Vascular smooth muscle contraction,hsa04270
PLCB1,23236,"Homo sapiens (human)
",Wnt signaling pathway,hsa04310
PLCB1,23236,"Homo sapiens (human)
",Apelin signaling pathway,hsa04371
PLCB1,23236,"Homo sapiens (human)
",Gap junction,hsa04540
PLCB1,23236,"Homo sapiens (human)
",Platelet activation,hsa04611
PLCB1,23236,"Homo sapiens (human)
",Neutrophil extracellular trap formation,hsa04613
PLCB1,23236,"Homo sapiens (human)
",NOD-like receptor signaling pathway,hsa04621
PLCB1,23236,"Homo sapiens (human)
",Circadian entrainment,hsa04713
PLCB1,23236,"Homo sapiens (human)
",Long-term potentiation,hsa04720
PLCB1,23236,"Homo sapiens (human)
",Retrograde endocannabinoid signaling,hsa04723
PLCB1,23236,"Homo sapiens (human)
",Glutamatergic synapse,hsa04724
PLCB1,23236,"Homo sapiens (human)
",Cholinergic synapse,hsa04725
PLCB1,23236,"Homo sapiens (human)
",Serotonergic synapse,hsa04726
PLCB1,23236,"Homo sapiens (human)
",Dopaminergic synapse,hsa04728
PLCB1,23236,"Homo sapiens (human)
",Long-term depression,hsa04730
PLCB1,23236,"Homo sapiens (human)
",Taste transduction,hsa04742
PLCB1,23236,"Homo sapiens (human)
",Inflammatory mediator regulation of TRP channels,hsa04750
PLCB1,23236,"Homo sapiens (human)
",Insulin secretion,hsa04911
PLCB1,23236,"Homo sapiens (human)
",GnRH signaling pathway,hsa04912
PLCB1,23236,"Homo sapiens (human)
",Estrogen signaling pathway,hsa04915
PLCB1,23236,"Homo sapiens (human)
",Melanogenesis,hsa04916
PLCB1,23236,"Homo sapiens (human)
",Thyroid hormone synthesis,hsa04918
PLCB1,23236,"Homo sapiens (human)
",Thyroid hormone signaling pathway,hsa04919
PLCB1,23236,"Homo sapiens (human)
",Oxytocin signaling pathway,hsa04921
PLCB1,23236,"Homo sapiens (human)
",Glucagon signaling pathway,hsa04922
PLCB1,23236,"Homo sapiens (human)
",Renin secretion,hsa04924
PLCB1,23236,"Homo sapiens (human)
",Aldosterone synthesis and secretion,hsa04925
PLCB1,23236,"Homo sapiens (human)
",Relaxin signaling pathway,hsa04926
PLCB1,23236,"Homo sapiens (human)
",Cortisol synthesis and secretion,hsa04927
PLCB1,23236,"Homo sapiens (human)
","Parathyroid hormone synthesis, secretion and action",hsa04928
PLCB1,23236,"Homo sapiens (human)
",GnRH secretion,hsa04929
PLCB1,23236,"Homo sapiens (human)
",AGE-RAGE signaling pathway in diabetic complications,hsa04933
PLCB1,23236,"Homo sapiens (human)
",Cushing syndrome,hsa04934
PLCB1,23236,"Homo sapiens (human)
","Growth hormone synthesis, secretion and action",hsa04935
PLCB1,23236,"Homo sapiens (human)
",Endocrine and other factor-regulated calcium reabsorption,hsa04961
PLCB1,23236,"Homo sapiens (human)
",Salivary secretion,hsa04970
PLCB1,23236,"Homo sapiens (human)
",Gastric acid secretion,hsa04971
PLCB1,23236,"Homo sapiens (human)
",Pancreatic secretion,hsa04972
PLCB1,23236,"Homo sapiens (human)
",Carbohydrate digestion and absorption,hsa04973
PLCB1,23236,"Homo sapiens (human)
",Alzheimer disease,hsa05010
PLCB1,23236,"Homo sapiens (human)
",Huntington disease,hsa05016
PLCB1,23236,"Homo sapiens (human)
",Spinocerebellar ataxia,hsa05017
PLCB1,23236,"Homo sapiens (human)
",Pathways of neurodegeneration - multiple diseases,hsa05022
PLCB1,23236,"Homo sapiens (human)
",Shigellosis,hsa05131
PLCB1,23236,"Homo sapiens (human)
",Chagas disease,hsa05142
PLCB1,23236,"Homo sapiens (human)
",African trypanosomiasis,hsa05143
PLCB1,23236,"Homo sapiens (human)
",Amoebiasis,hsa05146
PLCB1,23236,"Homo sapiens (human)
",Human cytomegalovirus infection,hsa05163
PLCB1,23236,"Homo sapiens (human)
",Pathways in cancer,hsa05200
PLCB1,23236,"Homo sapiens (human)
",Diabetic cardiomyopathy,hsa05415
PLCB1,23236,"Homo sapiens (human)
",Lipid and atherosclerosis,hsa05417
PLCB2,5330,"Homo sapiens (human)
",Inositol phosphate metabolism,hsa00562
PLCB2,5330,"Homo sapiens (human)
",Metabolic pathways,hsa01100
PLCB2,5330,"Homo sapiens (human)
",Rap1 signaling pathway,hsa04015
PLCB2,5330,"Homo sapiens (human)
",Calcium signaling pathway,hsa04020
PLCB2,5330,"Homo sapiens (human)
",cGMP-PKG signaling pathway,hsa04022
PLCB2,5330,"Homo sapiens (human)
",Chemokine signaling pathway,hsa04062
PLCB2,5330,"Homo sapiens (human)
",Phosphatidylinositol signaling system,hsa04070
PLCB2,5330,"Homo sapiens (human)
",Sphingolipid signaling pathway,hsa04071
PLCB2,5330,"Homo sapiens (human)
",Phospholipase D signaling pathway,hsa04072
PLCB2,5330,"Homo sapiens (human)
",Adrenergic signaling in cardiomyocytes,hsa04261
PLCB2,5330,"Homo sapiens (human)
",Vascular smooth muscle contraction,hsa04270
PLCB2,5330,"Homo sapiens (human)
",Wnt signaling pathway,hsa04310
PLCB2,5330,"Homo sapiens (human)
",Apelin signaling pathway,hsa04371
PLCB2,5330,"Homo sapiens (human)
",Gap junction,hsa04540
PLCB2,5330,"Homo sapiens (human)
",Platelet activation,hsa04611
PLCB2,5330,"Homo sapiens (human)
",Neutrophil extracellular trap formation,hsa04613
PLCB2,5330,"Homo sapiens (human)
",NOD-like receptor signaling pathway,hsa04621
PLCB2,5330,"Homo sapiens (human)
",Circadian entrainment,hsa04713
PLCB2,5330,"Homo sapiens (human)
",Long-term potentiation,hsa04720
PLCB2,5330,"Homo sapiens (human)
",Retrograde endocannabinoid signaling,hsa04723
PLCB2,5330,"Homo sapiens (human)
",Glutamatergic synapse,hsa04724
PLCB2,5330,"Homo sapiens (human)
",Cholinergic synapse,hsa04725
PLCB2,5330,"Homo sapiens (human)
",Serotonergic synapse,hsa04726
PLCB2,5330,"Homo sapiens (human)
",Dopaminergic synapse,hsa04728
PLCB2,5330,"Homo sapiens (human)
",Long-term depression,hsa04730
PLCB2,5330,"Homo sapiens (human)
",Taste transduction,hsa04742
PLCB2,5330,"Homo sapiens (human)
",Inflammatory mediator regulation of TRP channels,hsa04750
PLCB2,5330,"Homo sapiens (human)
",Insulin secretion,hsa04911
PLCB2,5330,"Homo sapiens (human)
",GnRH signaling pathway,hsa04912
PLCB2,5330,"Homo sapiens (human)
",Estrogen signaling pathway,hsa04915
PLCB2,5330,"Homo sapiens (human)
",Melanogenesis,hsa04916
PLCB2,5330,"Homo sapiens (human)
",Thyroid hormone synthesis,hsa04918
PLCB2,5330,"Homo sapiens (human)
",Thyroid hormone signaling pathway,hsa04919
PLCB2,5330,"Homo sapiens (human)
",Oxytocin signaling pathway,hsa04921
PLCB2,5330,"Homo sapiens (human)
",Glucagon signaling pathway,hsa04922
PLCB2,5330,"Homo sapiens (human)
",Renin secretion,hsa04924
PLCB2,5330,"Homo sapiens (human)
",Aldosterone synthesis and secretion,hsa04925
PLCB2,5330,"Homo sapiens (human)
",Relaxin signaling pathway,hsa04926
PLCB2,5330,"Homo sapiens (human)
",Cortisol synthesis and secretion,hsa04927
PLCB2,5330,"Homo sapiens (human)
","Parathyroid hormone synthesis, secretion and action",hsa04928
PLCB2,5330,"Homo sapiens (human)
",GnRH secretion,hsa04929
PLCB2,5330,"Homo sapiens (human)
",AGE-RAGE signaling pathway in diabetic complications,hsa04933
PLCB2,5330,"Homo sapiens (human)
",Cushing syndrome,hsa04934
PLCB2,5330,"Homo sapiens (human)
","Growth hormone synthesis, secretion and action",hsa04935
PLCB2,5330,"Homo sapiens (human)
",Endocrine and other factor-regulated calcium reabsorption,hsa04961
PLCB2,5330,"Homo sapiens (human)
",Salivary secretion,hsa04970
PLCB2,5330,"Homo sapiens (human)
",Gastric acid secretion,hsa04971
PLCB2,5330,"Homo sapiens (human)
",Pancreatic secretion,hsa04972
PLCB2,5330,"Homo sapiens (human)
",Carbohydrate digestion and absorption,hsa04973
PLCB2,5330,"Homo sapiens (human)
",Alzheimer disease,hsa05010
PLCB2,5330,"Homo sapiens (human)
",Huntington disease,hsa05016
PLCB2,5330,"Homo sapiens (human)
",Spinocerebellar ataxia,hsa05017
PLCB2,5330,"Homo sapiens (human)
",Pathways of neurodegeneration - multiple diseases,hsa05022
PLCB2,5330,"Homo sapiens (human)
",Shigellosis,hsa05131
PLCB2,5330,"Homo sapiens (human)
",Chagas disease,hsa05142
PLCB2,5330,"Homo sapiens (human)
",African trypanosomiasis,hsa05143
PLCB2,5330,"Homo sapiens (human)
",Amoebiasis,hsa05146
PLCB2,5330,"Homo sapiens (human)
",Human cytomegalovirus infection,hsa05163
PLCB2,5330,"Homo sapiens (human)
",Pathways in cancer,hsa05200
PLCB2,5330,"Homo sapiens (human)
",Diabetic cardiomyopathy,hsa05415
PLCB2,5330,"Homo sapiens (human)
",Lipid and atherosclerosis,hsa05417
PLCB3,5331,"Homo sapiens (human)
",Inositol phosphate metabolism,hsa00562
PLCB3,5331,"Homo sapiens (human)
",Metabolic pathways,hsa01100
PLCB3,5331,"Homo sapiens (human)
",Rap1 signaling pathway,hsa04015
PLCB3,5331,"Homo sapiens (human)
",Calcium signaling pathway,hsa04020
PLCB3,5331,"Homo sapiens (human)
",cGMP-PKG signaling pathway,hsa04022
PLCB3,5331,"Homo sapiens (human)
",Chemokine signaling pathway,hsa04062
PLCB3,5331,"Homo sapiens (human)
",Phosphatidylinositol signaling system,hsa04070
PLCB3,5331,"Homo sapiens (human)
",Sphingolipid signaling pathway,hsa04071
PLCB3,5331,"Homo sapiens (human)
",Phospholipase D signaling pathway,hsa04072
PLCB3,5331,"Homo sapiens (human)
",Adrenergic signaling in cardiomyocytes,hsa04261
PLCB3,5331,"Homo sapiens (human)
",Vascular smooth muscle contraction,hsa04270
PLCB3,5331,"Homo sapiens (human)
",Wnt signaling pathway,hsa04310
PLCB3,5331,"Homo sapiens (human)
",Apelin signaling pathway,hsa04371
PLCB3,5331,"Homo sapiens (human)
",Gap junction,hsa04540
PLCB3,5331,"Homo sapiens (human)
",Platelet activation,hsa04611
PLCB3,5331,"Homo sapiens (human)
",Neutrophil extracellular trap formation,hsa04613
PLCB3,5331,"Homo sapiens (human)
",NOD-like receptor signaling pathway,hsa04621
PLCB3,5331,"Homo sapiens (human)
",Circadian entrainment,hsa04713
PLCB3,5331,"Homo sapiens (human)
",Long-term potentiation,hsa04720
PLCB3,5331,"Homo sapiens (human)
",Retrograde endocannabinoid signaling,hsa04723
PLCB3,5331,"Homo sapiens (human)
",Glutamatergic synapse,hsa04724
PLCB3,5331,"Homo sapiens (human)
",Cholinergic synapse,hsa04725
PLCB3,5331,"Homo sapiens (human)
",Serotonergic synapse,hsa04726
PLCB3,5331,"Homo sapiens (human)
",Dopaminergic synapse,hsa04728
PLCB3,5331,"Homo sapiens (human)
",Long-term depression,hsa04730
PLCB3,5331,"Homo sapiens (human)
",Taste transduction,hsa04742
PLCB3,5331,"Homo sapiens (human)
",Inflammatory mediator regulation of TRP channels,hsa04750
PLCB3,5331,"Homo sapiens (human)
",Insulin secretion,hsa04911
PLCB3,5331,"Homo sapiens (human)
",GnRH signaling pathway,hsa04912
PLCB3,5331,"Homo sapiens (human)
",Estrogen signaling pathway,hsa04915
PLCB3,5331,"Homo sapiens (human)
",Melanogenesis,hsa04916
PLCB3,5331,"Homo sapiens (human)
",Thyroid hormone synthesis,hsa04918
PLCB3,5331,"Homo sapiens (human)
",Thyroid hormone signaling pathway,hsa04919
PLCB3,5331,"Homo sapiens (human)
",Oxytocin signaling pathway,hsa04921
PLCB3,5331,"Homo sapiens (human)
",Glucagon signaling pathway,hsa04922
PLCB3,5331,"Homo sapiens (human)
",Renin secretion,hsa04924
PLCB3,5331,"Homo sapiens (human)
",Aldosterone synthesis and secretion,hsa04925
PLCB3,5331,"Homo sapiens (human)
",Relaxin signaling pathway,hsa04926
PLCB3,5331,"Homo sapiens (human)
",Cortisol synthesis and secretion,hsa04927
PLCB3,5331,"Homo sapiens (human)
","Parathyroid hormone synthesis, secretion and action",hsa04928
PLCB3,5331,"Homo sapiens (human)
",GnRH secretion,hsa04929
PLCB3,5331,"Homo sapiens (human)
",AGE-RAGE signaling pathway in diabetic complications,hsa04933
PLCB3,5331,"Homo sapiens (human)
",Cushing syndrome,hsa04934
PLCB3,5331,"Homo sapiens (human)
","Growth hormone synthesis, secretion and action",hsa04935
PLCB3,5331,"Homo sapiens (human)
",Endocrine and other factor-regulated calcium reabsorption,hsa04961
PLCB3,5331,"Homo sapiens (human)
",Salivary secretion,hsa04970
PLCB3,5331,"Homo sapiens (human)
",Gastric acid secretion,hsa04971
PLCB3,5331,"Homo sapiens (human)
",Pancreatic secretion,hsa04972
PLCB3,5331,"Homo sapiens (human)
",Carbohydrate digestion and absorption,hsa04973
PLCB3,5331,"Homo sapiens (human)
",Alzheimer disease,hsa05010
PLCB3,5331,"Homo sapiens (human)
",Huntington disease,hsa05016
PLCB3,5331,"Homo sapiens (human)
",Spinocerebellar ataxia,hsa05017
PLCB3,5331,"Homo sapiens (human)
",Pathways of neurodegeneration - multiple diseases,hsa05022
PLCB3,5331,"Homo sapiens (human)
",Shigellosis,hsa05131
PLCB3,5331,"Homo sapiens (human)
",Chagas disease,hsa05142
PLCB3,5331,"Homo sapiens (human)
",African trypanosomiasis,hsa05143
PLCB3,5331,"Homo sapiens (human)
",Amoebiasis,hsa05146
PLCB3,5331,"Homo sapiens (human)
",Human cytomegalovirus infection,hsa05163
PLCB3,5331,"Homo sapiens (human)
",Pathways in cancer,hsa05200
PLCB3,5331,"Homo sapiens (human)
",Diabetic cardiomyopathy,hsa05415
PLCB3,5331,"Homo sapiens (human)
",Lipid and atherosclerosis,hsa05417
PLCB4,5332,"Homo sapiens (human)
",Inositol phosphate metabolism,hsa00562
PLCB4,5332,"Homo sapiens (human)
",Metabolic pathways,hsa01100
PLCB4,5332,"Homo sapiens (human)
",Rap1 signaling pathway,hsa04015
PLCB4,5332,"Homo sapiens (human)
",Calcium signaling pathway,hsa04020
PLCB4,5332,"Homo sapiens (human)
",cGMP-PKG signaling pathway,hsa04022
PLCB4,5332,"Homo sapiens (human)
",Chemokine signaling pathway,hsa04062
PLCB4,5332,"Homo sapiens (human)
",Phosphatidylinositol signaling system,hsa04070
PLCB4,5332,"Homo sapiens (human)
",Sphingolipid signaling pathway,hsa04071
PLCB4,5332,"Homo sapiens (human)
",Phospholipase D signaling pathway,hsa04072
PLCB4,5332,"Homo sapiens (human)
",Adrenergic signaling in cardiomyocytes,hsa04261
PLCB4,5332,"Homo sapiens (human)
",Vascular smooth muscle contraction,hsa04270
PLCB4,5332,"Homo sapiens (human)
",Wnt signaling pathway,hsa04310
PLCB4,5332,"Homo sapiens (human)
",Apelin signaling pathway,hsa04371
PLCB4,5332,"Homo sapiens (human)
",Gap junction,hsa04540
PLCB4,5332,"Homo sapiens (human)
",Platelet activation,hsa04611
PLCB4,5332,"Homo sapiens (human)
",Neutrophil extracellular trap formation,hsa04613
PLCB4,5332,"Homo sapiens (human)
",NOD-like receptor signaling pathway,hsa04621
PLCB4,5332,"Homo sapiens (human)
",Circadian entrainment,hsa04713
PLCB4,5332,"Homo sapiens (human)
",Long-term potentiation,hsa04720
PLCB4,5332,"Homo sapiens (human)
",Retrograde endocannabinoid signaling,hsa04723
PLCB4,5332,"Homo sapiens (human)
",Glutamatergic synapse,hsa04724
PLCB4,5332,"Homo sapiens (human)
",Cholinergic synapse,hsa04725
PLCB4,5332,"Homo sapiens (human)
",Serotonergic synapse,hsa04726
PLCB4,5332,"Homo sapiens (human)
",Dopaminergic synapse,hsa04728
PLCB4,5332,"Homo sapiens (human)
",Long-term depression,hsa04730
PLCB4,5332,"Homo sapiens (human)
",Taste transduction,hsa04742
PLCB4,5332,"Homo sapiens (human)
",Inflammatory mediator regulation of TRP channels,hsa04750
PLCB4,5332,"Homo sapiens (human)
",Insulin secretion,hsa04911
PLCB4,5332,"Homo sapiens (human)
",GnRH signaling pathway,hsa04912
PLCB4,5332,"Homo sapiens (human)
",Estrogen signaling pathway,hsa04915
PLCB4,5332,"Homo sapiens (human)
",Melanogenesis,hsa04916
PLCB4,5332,"Homo sapiens (human)
",Thyroid hormone synthesis,hsa04918
PLCB4,5332,"Homo sapiens (human)
",Thyroid hormone signaling pathway,hsa04919
PLCB4,5332,"Homo sapiens (human)
",Oxytocin signaling pathway,hsa04921
PLCB4,5332,"Homo sapiens (human)
",Glucagon signaling pathway,hsa04922
PLCB4,5332,"Homo sapiens (human)
",Renin secretion,hsa04924
PLCB4,5332,"Homo sapiens (human)
",Aldosterone synthesis and secretion,hsa04925
PLCB4,5332,"Homo sapiens (human)
",Relaxin signaling pathway,hsa04926
PLCB4,5332,"Homo sapiens (human)
",Cortisol synthesis and secretion,hsa04927
PLCB4,5332,"Homo sapiens (human)
","Parathyroid hormone synthesis, secretion and action",hsa04928
PLCB4,5332,"Homo sapiens (human)
",GnRH secretion,hsa04929
PLCB4,5332,"Homo sapiens (human)
",AGE-RAGE signaling pathway in diabetic complications,hsa04933
PLCB4,5332,"Homo sapiens (human)
",Cushing syndrome,hsa04934
PLCB4,5332,"Homo sapiens (human)
","Growth hormone synthesis, secretion and action",hsa04935
PLCB4,5332,"Homo sapiens (human)
",Endocrine and other factor-regulated calcium reabsorption,hsa04961
PLCB4,5332,"Homo sapiens (human)
",Salivary secretion,hsa04970
PLCB4,5332,"Homo sapiens (human)
",Gastric acid secretion,hsa04971
PLCB4,5332,"Homo sapiens (human)
",Pancreatic secretion,hsa04972
PLCB4,5332,"Homo sapiens (human)
",Carbohydrate digestion and absorption,hsa04973
PLCB4,5332,"Homo sapiens (human)
",Alzheimer disease,hsa05010
PLCB4,5332,"Homo sapiens (human)
",Huntington disease,hsa05016
PLCB4,5332,"Homo sapiens (human)
",Spinocerebellar ataxia,hsa05017
PLCB4,5332,"Homo sapiens (human)
",Pathways of neurodegeneration - multiple diseases,hsa05022
PLCB4,5332,"Homo sapiens (human)
",Shigellosis,hsa05131
PLCB4,5332,"Homo sapiens (human)
",Chagas disease,hsa05142
PLCB4,5332,"Homo sapiens (human)
",African trypanosomiasis,hsa05143
PLCB4,5332,"Homo sapiens (human)
",Amoebiasis,hsa05146
PLCB4,5332,"Homo sapiens (human)
",Human cytomegalovirus infection,hsa05163
PLCB4,5332,"Homo sapiens (human)
",Pathways in cancer,hsa05200
PLCB4,5332,"Homo sapiens (human)
",Diabetic cardiomyopathy,hsa05415
PLCB4,5332,"Homo sapiens (human)
",Lipid and atherosclerosis,hsa05417
ITPR1,3708,"Homo sapiens (human)
",Calcium signaling pathway,hsa04020
ITPR1,3708,"Homo sapiens (human)
",cGMP-PKG signaling pathway,hsa04022
ITPR1,3708,"Homo sapiens (human)
",Phosphatidylinositol signaling system,hsa04070
ITPR1,3708,"Homo sapiens (human)
",Oocyte meiosis,hsa04114
ITPR1,3708,"Homo sapiens (human)
",Autophagy - animal,hsa04140
ITPR1,3708,"Homo sapiens (human)
",Apoptosis,hsa04210
ITPR1,3708,"Homo sapiens (human)
",Cellular senescence,hsa04218
ITPR1,3708,"Homo sapiens (human)
",Vascular smooth muscle contraction,hsa04270
ITPR1,3708,"Homo sapiens (human)
",Apelin signaling pathway,hsa04371
ITPR1,3708,"Homo sapiens (human)
",Osteoclast differentiation,hsa04380
ITPR1,3708,"Homo sapiens (human)
",Gap junction,hsa04540
ITPR1,3708,"Homo sapiens (human)
",Platelet activation,hsa04611
ITPR1,3708,"Homo sapiens (human)
",NOD-like receptor signaling pathway,hsa04621
ITPR1,3708,"Homo sapiens (human)
",C-type lectin receptor signaling pathway,hsa04625
ITPR1,3708,"Homo sapiens (human)
",Circadian entrainment,hsa04713
ITPR1,3708,"Homo sapiens (human)
",Long-term potentiation,hsa04720
ITPR1,3708,"Homo sapiens (human)
",Retrograde endocannabinoid signaling,hsa04723
ITPR1,3708,"Homo sapiens (human)
",Glutamatergic synapse,hsa04724
ITPR1,3708,"Homo sapiens (human)
",Cholinergic synapse,hsa04725
ITPR1,3708,"Homo sapiens (human)
",Serotonergic synapse,hsa04726
ITPR1,3708,"Homo sapiens (human)
",Dopaminergic synapse,hsa04728
ITPR1,3708,"Homo sapiens (human)
",Long-term depression,hsa04730
ITPR1,3708,"Homo sapiens (human)
",Inflammatory mediator regulation of TRP channels,hsa04750
ITPR1,3708,"Homo sapiens (human)
",GnRH signaling pathway,hsa04912
ITPR1,3708,"Homo sapiens (human)
",Estrogen signaling pathway,hsa04915
ITPR1,3708,"Homo sapiens (human)
",Thyroid hormone synthesis,hsa04918
ITPR1,3708,"Homo sapiens (human)
",Oxytocin signaling pathway,hsa04921
ITPR1,3708,"Homo sapiens (human)
",Glucagon signaling pathway,hsa04922
ITPR1,3708,"Homo sapiens (human)
",Renin secretion,hsa04924
ITPR1,3708,"Homo sapiens (human)
",Aldosterone synthesis and secretion,hsa04925
ITPR1,3708,"Homo sapiens (human)
",Cortisol synthesis and secretion,hsa04927
ITPR1,3708,"Homo sapiens (human)
","Parathyroid hormone synthesis, secretion and action",hsa04928
ITPR1,3708,"Homo sapiens (human)
",GnRH secretion,hsa04929
ITPR1,3708,"Homo sapiens (human)
",Cushing syndrome,hsa04934
ITPR1,3708,"Homo sapiens (human)
","Growth hormone synthesis, secretion and action",hsa04935
ITPR1,3708,"Homo sapiens (human)
",Salivary secretion,hsa04970
ITPR1,3708,"Homo sapiens (human)
",Gastric acid secretion,hsa04971
ITPR1,3708,"Homo sapiens (human)
",Pancreatic secretion,hsa04972
ITPR1,3708,"Homo sapiens (human)
",Alzheimer disease,hsa05010
ITPR1,3708,"Homo sapiens (human)
",Parkinson disease,hsa05012
ITPR1,3708,"Homo sapiens (human)
",Huntington disease,hsa05016
ITPR1,3708,"Homo sapiens (human)
",Spinocerebellar ataxia,hsa05017
ITPR1,3708,"Homo sapiens (human)
",Prion disease,hsa05020
ITPR1,3708,"Homo sapiens (human)
",Pathways of neurodegeneration - multiple diseases,hsa05022
ITPR1,3708,"Homo sapiens (human)
",Shigellosis,hsa05131
